ticker,sector,composite_z,composite_rank,composite_pct,ai_score,ai_rated_at,value_quality_score,value_rank,growth_score,growth_rank,exclusion_reason
TEAM,Information Technology,0.144,894,63.79,,,,,,,
TECH,Health Care,0.231,669,72.91,,,,,,,
TECK,Materials,1.1099,22,99.15,,,,,,,
TEL,Industrials,0.0695,1119,54.66,,,,,,,
TEM,Information Technology,-0.8324,2361,4.3,,,,,,,
TEN,Industrials,0.1683,836,66.14,,,,,,,
TENB,Information Technology,0.4149,322,86.98,,,,,,,
TER,Industrials,0.6437,131,94.73,,,,,,,
TEX,Industrials,-0.3367,2040,17.32,,,,,,,
TFC,Financials,0.3356,453,81.67,,,,,,,
TFII,Industrials,0.2967,521,78.91,,,,,,,
TFIN,Financials,-0.0034,1338,45.78,,,,,,,
TFPM,Financials,-0.2393,1904,22.83,,,,,,,
TFSL,Financials,0.3288,463,81.27,,,,,,,
TFX,Health Care,-0.6738,2297,6.89,,,,,,,
TGB,Materials,1.6619,8,99.72,,,,,,,
TGLS,Materials,-0.5196,2205,10.62,,,,,,,
TGS,Utilities,-0.1617,1755,28.87,,,,,,,
TGT,Consumer Discretionary,0.5663,188,92.42,,,,,,,
TGTX,Health Care,-0.4689,2156,12.61,,,,,,,
TH,Consumer Discretionary,0.5257,218,91.2,,,,,,,
THC,Health Care,0.4492,293,88.16,,,,,,,
THFF,Financials,0.0856,1076,56.41,,,,,,,
THG,Financials,0.2858,548,77.82,,,,,,,
THO,Consumer Discretionary,-0.3312,2031,17.68,,,,,,,
THRM,Consumer Discretionary,-0.0138,1374,44.32,,,,,,,
TIGO,Communication Services,1.5902,10,99.64,,,,,,,
TILE,Consumer Discretionary,0.4735,264,89.33,,,,,,,
TJX,Consumer Discretionary,0.5593,193,92.21,,,,,,,
TK,Industrials,0.3414,442,82.12,,,,,,,
TKC,Communication Services,-0.6756,2298,6.85,,,,,,,
TKO,Consumer Discretionary,0.0532,1169,52.64,,,,,,,
TKR,Industrials,-0.1609,1753,28.95,,,,,,,
TLK,Communication Services,-0.7956,2348,4.83,,,,,,,
TLN,Utilities,-0.9358,2385,3.33,,,,,,,
TM,Consumer Discretionary,-0.0892,1577,36.09,,,,,,,
TMDX,Health Care,-0.5466,2227,9.73,,,,,,,
TMHC,Industrials,,,,,,,,,,new_issue
TMO,Health Care,0.1233,966,60.87,,,,,,,
TMP,Financials,0.2246,686,72.22,,,,,,,
TMUS,Communication Services,0.0822,1084,56.08,,,,,,,
TNC,Industrials,-0.4827,2173,11.92,,,,,,,
TNDM,Health Care,-0.2892,1979,19.79,,,,,,,
TNET,,0.7021,108,95.66,,,,,,,
